# 1 -- Star Name
# 2 -- X position (arcsec, increasing to the East)
# 3 -- Y position (arcsec, increasing to the North)
# 4 -- X velocity (mas/yr)
# 5 -- Y velocity (mas/yr)
# 6 -- t0 (year)
# 7 -- Variable? flag
# Bandpass Calibration Details:
# Older calibrations not in use anymore are denoted by '_o[#]' suffix to indicate 'old' and 'old version number'
# Default calibrators are listed after each magnitude column header entry.
# Error column indicates uncertainties in the reference magnitude for star (older calibrations did not use this)
# Filt -- Kp: K' band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K: K band (Zhuo, Abhimat 20181102) -- irs16NW,S1-17,S1-34,S1-1,S0-14,S1-21
# Filt -- H: H band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K_o1: K band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Kp_o1: K' band estimated from Keck data -- irs16C,irs16NW,irs16NE
# Filt -- Lp_o1: L' band (Wright et al. in prep) -- irs16C,irs16NW,irs16NE
# Filt -- H_o1: H band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Ms_o1: Ms band (Hornstein et al. in prep) -- irs16C,irs16NW
# Filt -- K_o2: K band (Rafelski et al. calibrated from Blum et al. 1996) -- irs16C,irs16NE,irs16SW-E,S2-16,S1-23,S1-3,S1-5,S2-22,S2-5,S1-68,S0-13,S1-25
#Star           x_pos           y_pos           x_vel           y_vel           t0          var?    Kp              Kp_err          K               K_err           H               H_err           K_o1            K_o1_err        Kp_o1           Kp_o1_err       Lp_o1           Lp_o1_err       H_o1            H_o1_err        Ms_o1           Ms_o1_err       K_o2            K_o2_err
irs33N           -0.029          -2.238           3.569          -5.635         2009.739    0       11.12            0.00           11.12            0.00           12.92            0.00           10.90            0.00           11.41            0.00            9.66            0.00           12.92            0.00            9.71            0.00            0.00            0.00
irs34W           -4.068           1.558          -2.340          -5.137         2009.350    0       11.50            0.00           11.50            0.00            0.00            0.00            0.00            0.00           11.40            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S0-12            -0.551           0.419           1.070           3.794         2010.630    0       14.24            0.00           14.24            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S0-13             0.556          -0.408           1.795           3.545         2010.030    0       13.21            0.00           13.21            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           13.49            0.00
S0-14            -0.756          -0.284           2.444          -0.972         2010.024    0       13.69            0.07           13.3317          0.0566         15.72            0.09            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-1              1.040           0.036           5.766           1.495         2009.700    0       13.1172          0.0285         12.6936          0.0546         15.1485          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-3              0.362           0.881         -13.892           1.980         2007.360    0       12.02            0.00           12.02            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           12.10            0.00
S1-4              0.856          -0.664          11.448           2.850         2007.634    0       12.36            0.00           12.36            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-5              0.319          -0.886          -3.784           4.644         2009.802    0       12.42            0.00           12.42            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           12.78            0.00
S1-8             -0.585          -0.915           9.272          -5.250         2009.898    0       14.03            0.00           14.03            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-10            -1.093          -0.010           4.448           2.017         2011.455    0       14.64            0.00           12.59            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-13            -1.142          -0.973          -2.588          -6.812         2010.413    0       13.94            0.00           13.44            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-14            -1.317          -0.372           5.349          -7.736         2010.105    0       12.59            0.00           14.64            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-15            -1.356           0.493          -0.105          -4.203         2009.477    0       14.0236          0.1558         13.94            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-17             0.477          -1.524           0.066          -5.264         2009.609    0       12.2734          0.0283         12.0454          0.0624         14.7287          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-19             0.433          -1.635           8.425          -2.981         2010.028    0       13.44            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-21            -1.639           0.091           4.270          -5.358         2010.177    0       13.3244          0.0282         12.9763          0.0753         15.3438          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-23            -0.897          -1.496           4.365          -3.221         2009.857    0       11.58            0.00           13.16            0.00           14.13            0.00           11.82            0.00           11.91            0.00           10.00            0.00           14.13            0.00           10.43            0.00           11.86            0.00
S1-25             1.676          -0.606           3.130           3.260         2010.180    0       13.16            0.00           15.09            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           13.54            0.00
S1-32            -0.981          -0.652          -4.058          -2.610         2008.546    0       15.09            0.00           15.38            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-34             0.875          -0.995           2.879          -0.820         2010.145    0       13.0210          0.0285         12.7792          0.0679         14.7600          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-54            -1.515           0.749          -0.251           3.510         2007.800    0       15.38            0.00           13.16            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-65             1.479           1.276           2.391           0.447         2010.864    0       15.44            0.00           13.90            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S1-68             1.832          -0.650          -5.230          -5.204         2009.981    0       13.16            0.00           13.10            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           13.38            0.00
S2-2             -0.523           2.090           2.458           5.043         2009.464    0       13.90            0.00           12.07            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-5              1.940          -0.784           5.588           5.521         2010.175    0       13.10            0.00           15.03            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           13.32            0.00
S2-8             -1.958           0.888           1.782           2.399         2009.444    0       12.07            0.00           11.12            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-12             1.638           1.146          -5.594          -3.163         2010.353    0       15.03            0.00           11.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-16            -1.064           2.060          -9.001          -0.628         2009.512    0       12.16            0.23           11.79            0.22           15.29            0.12           11.90            0.00           12.13            0.00            8.94            0.00           15.06            0.00            8.52            0.00           11.85            0.00
S2-17             1.339          -1.876           9.235           0.098         2009.606    0       10.17            0.08            9.97            0.07           12.088           0.17            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-21            -1.619          -1.670           9.308          -3.431         2009.939    0       13.24            0.00           13.24            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-22             2.301          -0.205          -1.784           6.621         2009.839    0       12.8603          0.0188         12.5944          0.00           14.7094          0.0206          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           12.92            0.00
S2-24            -2.335          -0.888          -0.558           1.209         2009.840    0       13.51            0.00           13.51            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
