             epoch filt nights_combo num_frames          med_fwhms         med_strehls
     20190818nirc2   kp single_night         13              62.57                0.33
     20190819nirc2   kp single_night         23               70.3                 0.3
     20200707nirc2   kp single_night        169              70.29                0.28
     20200809nirc2   kp single_night         32              69.56                0.26
20210513_0514nirc2   kp  multi_night        128             63.195                0.32
     20210513nirc2   kp single_night         67              75.52                0.23
     20210514nirc2   kp single_night        122             63.025                0.32
20210713_0714nirc2   kp  multi_night         13              71.89                0.26
     20210713nirc2   kp single_night         10              67.73 0.30000000000000004
     20210714nirc2    h single_night         34  83.91499999999999                 0.1
     20210714nirc2   kp single_night         31              82.95                0.22
20210812_0813nirc2   kp  multi_night        120             58.585                 0.4
20210812_0814nirc2   kp  multi_night        123              58.72                 0.4
     20210812nirc2   kp single_night         12             53.275                0.46
     20210813nirc2   kp single_night        115              59.67                0.39
     20210814nirc2   kp single_night         15              71.49                0.28
     20210815nirc2   kp single_night         36             50.185                0.47
     20210821nirc2   kp single_night         45              51.85                0.43
20220514_0515nirc2   kp  multi_night        121              57.83                 0.4
     20220514nirc2   kp single_night        118              57.78                 0.4
     20220515nirc2   kp single_night         20              69.13                0.27
     20220521nirc2   kp single_night         48               55.1                0.44
     20220521nirc2    h single_night         41              52.85                0.26
     20220525nirc2   kp single_night         57              59.63                0.39
     20220525nirc2    h single_night         43              55.75                0.22
     20220716nirc2   kp single_night         22              77.18                0.23
     20220716nirc2   kp single_night         22              77.18                0.23
20220719_0722nirc2   kp  multi_night        317              59.99                0.38
     20220719nirc2   kp single_night        123              62.82                0.34
     20220722nirc2   kp single_night        214              58.65                0.39
20220814_0816nirc2   kp  multi_night        148              54.66                0.47
     20220814nirc2   kp single_night         49              65.28                0.31
     20220815nirc2   kp single_night        123              53.96                0.48
     20220816nirc2    h single_night         13              57.91                0.21
     20220816nirc2    h single_night         13              57.91                0.21
     20220816nirc2    h single_night         13              57.91                0.21
     20220816nirc2   kp single_night         28             65.195                0.33
20220819_0820nirc2   kp  multi_night         75              58.39                 0.4
20220819_0820nirc2    h  multi_night         52 54.385000000000005                0.23
     20220819nirc2   kp single_night         51              56.61                0.43
     20220819nirc2    h single_night         42 53.894999999999996                0.24
     20220819nirc2    h single_night         42 53.894999999999996                0.24
     20220820nirc2    h single_night         29               61.8                0.19
     20220820nirc2   kp single_night         32             64.225                0.34
20230512_0513nirc2   kp  multi_night        194              65.36                0.33
     20230512nirc2   kp single_night         81              75.65                0.24
     20230513nirc2   kp single_night        174              65.09                0.33
