                epoch              jyear num_dets_common num_dets_legonly num_dets_sinonly
--------------------- ------------------ --------------- ---------------- ----------------
     20060503nirc2_kp 2006.3354191901108            25.0              2.0             17.0
20060620_0621nirc2_kp 2006.4687065916778            31.0              3.0             12.0
     20060717nirc2_kp  2006.540298190071            29.0              2.0             13.0
     20070517nirc2_kp  2007.373170864044            40.0              2.0              2.0
20070810_0812nirc2_kp  2007.609247820626            23.0              2.0             19.0
     20080515nirc2_kp 2008.3695866564371            28.0              0.0             17.0
     20080724nirc2_kp 2008.5607735936435            31.0             12.0              1.0
20090501_0504nirc2_kp 2009.3346894741987            38.0              2.0              3.0
20090722_0724nirc2_kp 2009.5599325767114            37.0              2.0              4.0
     20090909nirc2_kp 2009.6885678312567            34.0              5.0              4.0
20100504_0505nirc2_kp 2010.3393629415798            31.0              8.0              3.0
     20100706nirc2_kp 2010.5102020871889            35.0              6.0              4.0
     20100815nirc2_kp 2010.6195305465344            31.0              4.0              6.0
     20110527nirc2_kp 2011.4004248699837            28.0              8.0              3.0
     20110718nirc2_kp  2011.542351193867            33.0              6.0              5.0
20110823_0824nirc2_kp 2011.6419647001524            34.0              5.0              7.0
20120515_0518nirc2_kp 2012.3705367560963            31.0              7.0              4.0
     20120724nirc2_kp 2012.5607411096505            34.0              7.0              3.0
20130426_0427nirc2_kp 2013.3183282024593            30.0              7.0              2.0
     20130720nirc2_kp 2013.5491440813255            40.0              1.0              3.0
     20140519nirc2_kp 2014.3792575736427            31.0              8.0              5.0
20140803_0806nirc2_kp 2014.5944346570152            30.0              3.0              9.0
20150809_0811nirc2_kp 2015.6057692857955            33.0              1.0              9.0
     20160503nirc2_kp  2016.336795607086            29.0              4.0              7.0
     20160713nirc2_kp 2016.5307679146572            25.0              4.0              7.0
20170504_0505nirc2_kp 2017.3414875383066            34.0              5.0              4.0
     20190419nirc2_kp 2019.2965657307684            26.0              4.0              5.0
     20190420nirc2_kp  2019.299335115384            30.0              2.0             11.0
     20190513nirc2_kp 2019.3620993428015            29.0              6.0              7.0
     20190523nirc2_kp 2019.3894533711818            30.0              5.0             10.0
     20190625nirc2_kp  2019.479695384592            31.0              5.0              3.0
     20190630nirc2_kp  2019.493379822554            37.0              0.0              8.0
     20190814nirc2_kp  2019.616130709596            30.0              4.0              5.0
20190818_0819nirc2_kp  2019.628701132577            35.0              3.0              3.0
     20200707nirc2_kp  2020.514330026545            28.0              4.0              6.0
     20200809nirc2_kp 2020.6045437441135            27.0              6.0              4.0
20210513_0514nirc2_kp 2021.3661468184243            30.0              0.0              7.0
20210713_0714nirc2_kp  2021.530537767433            33.0              4.0              4.0
20210812_0814nirc2_kp 2021.6144795525472            33.0              1.0              6.0
20220514_0515nirc2_kp 2022.3656346934902            34.0              4.0              6.0
20220719_0722nirc2_kp 2022.5515118598776            34.0              4.0              9.0
20220814_0816nirc2_kp 2022.6194624362154            38.0              3.0              6.0
20220819_0820nirc2_kp  2022.631237194364            30.0              6.0              6.0
20230512_0513nirc2_kp 2023.3619145292844            39.0              4.0              2.0
