                epoch              jyear      resid_abs_leg      resid_abs_sin   resid_abs_feu_leg   resid_abs_feu_sin
--------------------- ------------------ ------------------ ------------------ ------------------- -------------------
     20060503nirc2_kp 2006.3354191901108 1016.1700439453125  61.57930374145508  2.2607738971710205  0.1324290931224823
20060620_0621nirc2_kp 2006.4687065916778    40.434326171875   79.1201400756836 0.09761396050453186 0.19880419969558716
     20060717nirc2_kp  2006.540298190071   876.099853515625  71.15960693359375  1.8247509002685547 0.15788933634757996
     20070517nirc2_kp  2007.373170864044   49.3052978515625  89.65428161621094 0.10277213156223297  0.1961238831281662
20070810_0812nirc2_kp  2007.609247820626  925.4425659179688  71.40418243408203  1.9552942514419556 0.16054348647594452
     20080515nirc2_kp 2008.3695866564371   886.026611328125 31.041473388671875  1.9252326488494873 0.06382881104946136
     20080724nirc2_kp 2008.5607735936435  288.8981018066406 208.55853271484375    0.69398033618927  0.3899635374546051
20090501_0504nirc2_kp 2009.3346894741987  171.8473663330078  63.00401306152344 0.41184377670288086  0.1501832753419876
20090722_0724nirc2_kp 2009.5599325767114  98.36993408203125 58.261505126953125 0.24005992710590363  0.1488824486732483
     20090909nirc2_kp 2009.6885678312567  275.5519714355469 116.73484802246094  0.5803700685501099 0.22287112474441528
20100504_0505nirc2_kp 2010.3393629415798   270.442138671875 57.502769470214844  0.6155802011489868 0.12173304706811905
     20100706nirc2_kp 2010.5102020871889  289.8216552734375  75.62413024902344  0.6554490923881531 0.15859690308570862
     20100815nirc2_kp 2010.6195305465344 393.12982177734375 215.89324951171875  0.8155719041824341 0.35451844334602356
     20110527nirc2_kp 2011.4004248699837  366.0159912109375 270.82232666015625  0.7482231259346008 0.44070354104042053
     20110718nirc2_kp  2011.542351193867   417.250732421875 128.73675537109375  0.8770442008972168 0.22132454812526703
20110823_0824nirc2_kp 2011.6419647001524 218.53692626953125  56.82928466796875  0.4736229479312897 0.12146806716918945
20120515_0518nirc2_kp 2012.3705367560963 243.50514221191406 127.16323852539062  0.5247488021850586 0.22314469516277313
     20120724nirc2_kp 2012.5607411096505 265.03448486328125 216.67654418945312  0.5620934367179871  0.3731541633605957
20130426_0427nirc2_kp 2013.3183282024593  134.4327392578125  91.45146942138672 0.29407307505607605  0.2028980702161789
     20130720nirc2_kp 2013.5491440813255  317.3055725097656  72.96824645996094  0.8205318450927734 0.17321480810642242
     20140519nirc2_kp 2014.3792575736427  240.0992431640625   216.738037109375  0.5955955982208252  0.4116940200328827
20140803_0806nirc2_kp 2014.5944346570152 473.08172607421875  156.4829559326172  1.1349842548370361  0.2872101664543152
20150809_0811nirc2_kp 2015.6057692857955 498.34588623046875 159.35194396972656  1.0979633331298828   0.265730082988739
     20160503nirc2_kp  2016.336795607086    558.78564453125 160.27719116210938  1.1557974815368652  0.2625954747200012
     20160713nirc2_kp 2016.5307679146572  679.6905517578125 236.82199096679688  1.2861765623092651 0.34016871452331543
20170504_0505nirc2_kp 2017.3414875383066    376.10888671875  260.6043701171875  0.8022022247314453  0.4107617139816284
     20190419nirc2_kp 2019.2965657307684 120.03952026367188  78.37802124023438 0.22100156545639038  0.1482551395893097
     20190420nirc2_kp  2019.299335115384     473.4638671875  94.36079406738281  1.0028856992721558 0.18250174820423126
     20190513nirc2_kp 2019.3620993428015  534.4910888671875 229.25653076171875  1.1832985877990723 0.33752232789993286
     20190523nirc2_kp 2019.3894533711818  572.9207763671875 254.45623779296875  1.2564185857772827  0.3797839283943176
     20190625nirc2_kp  2019.479695384592  56.33343505859375  70.37249755859375 0.10058380663394928 0.14318817853927612
     20190630nirc2_kp  2019.493379822554   273.367919921875 60.620243072509766  0.6524948477745056  0.1206897497177124
     20190814nirc2_kp  2019.616130709596  96.78993225097656  88.16100311279297  0.2349769026041031 0.21168163418769836
20190818_0819nirc2_kp  2019.628701132577   59.7076416015625  75.82915496826172 0.12176115065813065  0.1487588882446289
     20200707nirc2_kp  2020.514330026545  85.89471435546875  63.33135223388672 0.17594172060489655 0.13725195825099945
     20200809nirc2_kp 2020.6045437441135 107.98907470703125  47.62701416015625 0.23216287791728973 0.09209531545639038
20210513_0514nirc2_kp 2021.3661468184243  410.4154968261719  91.63569641113281  0.9866236448287964 0.15557809174060822
20210713_0714nirc2_kp  2021.530537767433     48.04638671875  72.90423583984375 0.09073720127344131 0.16257913410663605
20210812_0814nirc2_kp 2021.6144795525472  353.0562438964844  170.2796630859375  0.8444885611534119 0.28415191173553467
20220514_0515nirc2_kp 2022.3656346934902  428.2425231933594  203.6128387451172  0.9228696823120117  0.3247830271720886
20220719_0722nirc2_kp 2022.5515118598776  366.3665771484375  44.04973602294922  0.8390632271766663 0.08620194345712662
20220814_0816nirc2_kp 2022.6194624362154   414.051513671875  59.97975158691406  0.9819800853729248 0.13608881831169128
20220819_0820nirc2_kp  2022.631237194364  372.5639343261719 113.03395080566406  0.7840836048126221   0.246978759765625
20230512_0513nirc2_kp 2023.3619145292844  60.87059020996094  106.6434555053711 0.11283102631568909 0.22870223224163055
