               epoch              jyear      resid_abs_leg      resid_abs_sin   resid_abs_feu_leg   resid_abs_feu_sin
-------------------- ------------------ ------------------ ------------------ ------------------- -------------------
     20170507nirc2_h 2017.3471832215728  8.921449661254883 11.548749923706055  0.1120513379573822 0.15675000846385956
     20170813nirc2_h   2017.61471701961 12.804496765136719 17.921493530273438 0.14439968764781952 0.20585264265537262
20170823_0826nirc2_h 2017.6472084005022  8.777950286865234 10.899826049804688 0.13553522527217865 0.15493416786193848
     20180317nirc2_h 2018.2070805663852  9.818550109863281  8.128318786621094  0.1773289293050766 0.14164936542510986
     20180322nirc2_h 2018.2207284350804 10.456588745117188  9.215950012207031  0.1516297161579132   0.132979154586792
     20180330nirc2_h 2018.2426521523848 10.410120964050293  9.501693725585938 0.17410729825496674 0.14629074931144714
     20180519nirc2_h 2018.3793156991383  17.31906509399414 11.948265075683594  0.2834320068359375 0.17103222012519836
     20180524nirc2_h 2018.3929624490713 10.215766906738281  11.51694107055664 0.16261249780654907  0.1810019463300705
     20180903nirc2_h  2018.671480976873 11.657012939453125 12.953378677368164 0.13468466699123383 0.15590709447860718
