               epoch              jyear      resid_abs_leg      resid_abs_sin   resid_abs_feu_leg   resid_abs_feu_sin
-------------------- ------------------ ------------------ ------------------ ------------------- -------------------
     20170507nirc2_h 2017.3471832215728 15.348953247070312 33.261260986328125  0.0792277380824089  0.2128140926361084
     20170813nirc2_h   2017.61471701961 21.069183349609375  48.85340881347656  0.0707324743270874 0.19194276630878448
20170823_0826nirc2_h 2017.6472084005022 16.254058837890625  29.93880844116211 0.08437202125787735  0.1668299287557602
     20180317nirc2_h 2018.2070805663852 20.473480224609375  25.52880096435547 0.11499467492103577  0.1506379097700119
     20180322nirc2_h 2018.2207284350804 20.203262329101562   33.3538818359375 0.10745764523744583  0.2110610008239746
     20180330nirc2_h 2018.2426521523848 21.368637084960938  41.33505630493164 0.10322883725166321 0.20817644894123077
     20180519nirc2_h 2018.3793156991383 34.222076416015625 28.898944854736328 0.12680554389953613 0.12975090742111206
     20180524nirc2_h 2018.3929624490713 19.178253173828125 39.416568756103516  0.0881783738732338 0.23538480699062347
     20180903nirc2_h  2018.671480976873 19.476394653320312  41.75144958496094 0.10085966438055038 0.24299491941928864
