|         epoch | filt | nights_combo | num_frames |          med_fwhms |         med_strehls | num_stf_legacy_detections | num_stf_singPSF_detections | num_stf_legacy_detections_faint | num_stf_singPSF_detections_faint | num_stf_legacy_detections_bright | num_stf_singPSF_detections_bright | num_legonly_detections | num_singonly_detections | num_legonly_faint_detections | num_singonly_faint_detections | num_legonly_bright_detections | num_singonly_bright_detections |
| 20120515nirc2 |   kp | single_night |        180 |             59.075 |                0.33 |                    1408.0 |                     1330.0 |                           560.0 |                            492.0 |                            848.0 |                             838.0 |                  285.0 |                   207.0 |                        239.0 |                         170.0 |                          46.0 |                           37.0 |
| 20120518nirc2 |   kp | single_night |         68 |  67.50999999999999 |                0.28 |                    1087.0 |                      997.0 |                           301.0 |                            220.0 |                            786.0 |                             777.0 |                  194.0 |                   104.0 |                        136.0 |                          59.0 |                          58.0 |                           45.0 |
| 20120724nirc2 |   kp | single_night |        164 |             58.025 |                0.37 |                    1414.0 |                     1288.0 |                           562.0 |                            464.0 |                            852.0 |                             824.0 |                  307.0 |                   181.0 |                        248.0 |                         147.0 |                          59.0 |                           34.0 |
| 20130426nirc2 |   kp | single_night |         75 |              64.81 |                0.27 |                    1064.0 |                     1065.0 |                           285.0 |                            313.0 |                            779.0 |                             752.0 |                  149.0 |                   150.0 |                         93.0 |                         110.0 |                          56.0 |                           40.0 |
| 20130427nirc2 |   kp | single_night |         77 |              69.87 |                0.27 |                    1137.0 |                     1136.0 |                           344.0 |                            372.0 |                            793.0 |                             764.0 |                  163.0 |                   162.0 |                         99.0 |                         121.0 |                          64.0 |                           41.0 |
| 20130720nirc2 |   kp | single_night |        195 |              58.36 |                0.38 |                    1465.0 |                     1670.0 |                           606.0 |                            800.0 |                            859.0 |                             870.0 |                  210.0 |                   415.0 |                        179.0 |                         371.0 |                          31.0 |                           44.0 |
| 20140319nirc2 |   kp | single_night |         17 |             104.06 |                0.13 |                     427.0 |                      435.0 |                             4.0 |                             10.0 |                            423.0 |                             425.0 |                   44.0 |                    52.0 |                          1.0 |                           6.0 |                          43.0 |                           46.0 |
| 20140320nirc2 |   kp | single_night |         19 |              67.48 |                0.28 |                     931.0 |                     1064.0 |                           234.0 |                            342.0 |                            697.0 |                             722.0 |                   88.0 |                   221.0 |                         50.0 |                         154.0 |                          38.0 |                           67.0 |
| 20140418nirc2 |   kp | single_night |          4 |             78.135 |               0.215 |                     699.0 |                      677.0 |                            49.0 |                             59.0 |                            650.0 |                             618.0 |                   77.0 |                    55.0 |                         12.0 |                          21.0 |                          65.0 |                           34.0 |
| 20140419nirc2 |   kp | single_night |          6 |            112.645 |                0.12 |                     235.0 |                      242.0 |                             0.0 |                              0.0 |                            235.0 |                             242.0 |                   30.0 |                    37.0 |                          0.0 |                           0.0 |                          30.0 |                           37.0 |
| 20140512nirc2 |   kp | single_night |          9 |              68.32 |                0.26 |                     851.0 |                      918.0 |                           172.0 |                            224.0 |                            679.0 |                             694.0 |                   84.0 |                   151.0 |                         38.0 |                          90.0 |                          46.0 |                           61.0 |
| 20140519nirc2 |   kp | single_night |        148 | 63.894999999999996 |                0.32 |                    1246.0 |                     1141.0 |                           422.0 |                            340.0 |                            824.0 |                             801.0 |                  246.0 |                   141.0 |                        171.0 |                          92.0 |                          75.0 |                           49.0 |
| 20140703nirc2 |   kp | single_night |         46 |             71.795 |                0.27 |                    1054.0 |                     1039.0 |                           316.0 |                            317.0 |                            738.0 |                             722.0 |                  129.0 |                   114.0 |                         82.0 |                          81.0 |                          47.0 |                           33.0 |
| 20140704nirc2 |   kp | single_night |         86 |              70.86 |                0.27 |                     900.0 |                      897.0 |                           146.0 |                            154.0 |                            754.0 |                             743.0 |                   90.0 |                    87.0 |                         32.0 |                          46.0 |                          58.0 |                           41.0 |
| 20140803nirc2 |   kp | single_night |         12 |              92.53 |                0.17 |                     498.0 |                      542.0 |                            12.0 |                             27.0 |                            486.0 |                             515.0 |                   41.0 |                    85.0 |                          2.0 |                          17.0 |                          39.0 |                           68.0 |
| 20140804nirc2 |   kp | single_night |         24 |             64.245 |                0.29 |                     990.0 |                     1223.0 |                           234.0 |                            428.0 |                            756.0 |                             795.0 |                   92.0 |                   325.0 |                         53.0 |                         240.0 |                          39.0 |                           85.0 |
| 20140806nirc2 |   kp | single_night |        126 |             56.435 |                0.39 |                    1190.0 |                     1345.0 |                           385.0 |                            490.0 |                            805.0 |                             855.0 |                  178.0 |                   333.0 |                        139.0 |                         245.0 |                          39.0 |                           88.0 |
| 20150331nirc2 |   kp | single_night |         25 |              68.22 |                0.28 |                     905.0 |                     1001.0 |                           198.0 |                            280.0 |                            707.0 |                             721.0 |                   93.0 |                   189.0 |                         42.0 |                         120.0 |                          51.0 |                           69.0 |
| 20150401nirc2 |   kp | single_night |          5 |              69.19 |                0.25 |                     825.0 |                      901.0 |                           126.0 |                            174.0 |                            699.0 |                             727.0 |                   61.0 |                   137.0 |                         27.0 |                          72.0 |                          34.0 |                           65.0 |
| 20150402nirc2 |   kp | single_night |         17 |              62.95 |                0.32 |                    1088.0 |                     1150.0 |                           321.0 |                            383.0 |                            767.0 |                             767.0 |                  150.0 |                   212.0 |                        102.0 |                         164.0 |                          48.0 |                           48.0 |
| 20150514nirc2 |   kp | single_night |         32 |  81.30000000000001 |               0.185 |                     750.0 |                      789.0 |                            84.0 |                            131.0 |                            666.0 |                             658.0 |                   80.0 |                   119.0 |                         18.0 |                          61.0 |                          62.0 |                           58.0 |
| 20150809nirc2 |   kp | single_night |         43 |              61.91 |                0.35 |                     975.0 |                     1058.0 |                           222.0 |                            259.0 |                            753.0 |                             799.0 |                  146.0 |                   229.0 |                         85.0 |                         117.0 |                          61.0 |                          112.0 |
| 20150810nirc2 |   kp | single_night |         98 |              56.59 |                0.41 |                    1318.0 |                     1770.0 |                           486.0 |                            896.0 |                            832.0 |                             874.0 |                  146.0 |                   598.0 |                        116.0 |                         520.0 |                          30.0 |                           78.0 |
| 20150811nirc2 |   kp | single_night |         71 |              56.43 |                0.42 |                    1334.0 |                     1941.0 |                           496.0 |                           1053.0 |                            838.0 |                             888.0 |                  138.0 |                   745.0 |                        114.0 |                         668.0 |                          24.0 |                           77.0 |
| 20160503nirc2 |   kp | single_night |        166 |             60.805 |                0.36 |                    1147.0 |                     1261.0 |                           325.0 |                            425.0 |                            822.0 |                             836.0 |                  164.0 |                   278.0 |                        111.0 |                         205.0 |                          53.0 |                           73.0 |
| 20160712nirc2 |   kp | single_night |         16 |  76.61500000000001 |                0.22 |                     662.0 |                      729.0 |                            64.0 |                            112.0 |                            598.0 |                             617.0 |                   68.0 |                   135.0 |                         19.0 |                          61.0 |                          49.0 |                           74.0 |
| 20160713nirc2 |   kp | single_night |        148 | 59.495000000000005 |                0.33 |                     934.0 |                     1047.0 |                           191.0 |                            250.0 |                            743.0 |                             797.0 |                  133.0 |                   246.0 |                         67.0 |                         118.0 |                          66.0 |                          128.0 |
| 20170504nirc2 |   kp | single_night |        115 |              70.72 |                0.28 |                    1100.0 |                     1121.0 |                           290.0 |                            344.0 |                            810.0 |                             777.0 |                  140.0 |                   161.0 |                         85.0 |                         134.0 |                          55.0 |                           27.0 |
| 20170505nirc2 |   kp | single_night |        175 |              58.38 |                0.38 |                    1214.0 |                     1162.0 |                           368.0 |                            288.0 |                            846.0 |                             874.0 |                  226.0 |                   174.0 |                        181.0 |                         107.0 |                          45.0 |                           67.0 |
| 20170718nirc2 |   kp | single_night |          9 |              64.46 |                0.28 |                     919.0 |                     1052.0 |                           165.0 |                            246.0 |                            754.0 |                             806.0 |                   94.0 |                   227.0 |                         39.0 |                         126.0 |                          55.0 |                          101.0 |
| 20170727nirc2 |   kp | single_night |         45 |              78.21 |                 0.2 |                     846.0 |                      869.0 |                           149.0 |                            188.0 |                            697.0 |                             681.0 |                  100.0 |                   123.0 |                         45.0 |                          76.0 |                          55.0 |                           47.0 |
| 20170808nirc2 |   kp | single_night |          9 |              93.33 |                0.15 |                     505.0 |                      496.0 |                             1.0 |                              2.0 |                            504.0 |                             494.0 |                   53.0 |                    44.0 |                          0.0 |                           0.0 |                          53.0 |                           44.0 |
